Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-05-30,00:00:00,4724.21875,20157.8125,40403.90625,45399.683785702706
2026-05-30,00:00:02,4725.0,20160.9375,40403.90625,45401.15269613422
2026-05-30,00:00:04,4724.21875,20162.5,40395.3125,45394.11769183875
2026-05-30,00:00:06,4724.21875,20163.28125,40401.5625,45400.02649785415
2026-05-30,00:00:08,4724.21875,20160.15625,40403.90625,45400.72447749104
2026-05-30,00:00:10,4725.78125,20160.9375,40400.0,45397.7577563227
2026-05-30,00:00:12,4725.0,20160.9375,40404.6875,45401.84795635044
2026-05-30,00:00:14,4726.5625,20162.5,40404.6875,45402.70444906407
2026-05-30,00:00:16,4724.21875,20162.5,40398.4375,45396.898588882235
2026-05-30,00:00:18,4725.0,20162.5,40405.46875,45403.2370669452
2026-05-30,00:00:20,4724.21875,20160.9375,40403.125,45400.37613767514
2026-05-30,00:00:22,4725.78125,20160.15625,40400.0,45397.41081215168
2026-05-30,00:00:24,4725.78125,20160.15625,40405.46875,45402.27762298376
2026-05-30,00:00:26,4725.0,20162.5,40400.0,45398.37035896773
2026-05-30,00:00:28,4725.78125,20160.15625,40400.0,45397.41081215168
2026-05-30,00:00:30,4725.0,20160.15625,40403.125,45400.11051517429
2026-05-30,00:00:32,4725.78125,20160.9375,40403.90625,45401.23400922652
2026-05-30,00:00:34,4725.0,20162.5,40400.78125,45399.065594573105
2026-05-30,00:00:36,4725.0,20160.15625,40403.125,45400.11051517429
2026-05-30,00:00:38,4725.0,20159.375,40400.78125,45397.677815070856
2026-05-30,00:00:40,4725.78125,20164.0625,40398.4375,45397.755201861735
2026-05-30,00:00:42,4725.0,20159.375,40402.34375,45399.068337178345
2026-05-30,00:00:44,4725.78125,20164.0625,40403.125,45401.926552651734
2026-05-30,00:00:46,4724.21875,20161.71875,40398.4375,45396.55161125523
2026-05-30,00:00:48,4725.0,20165.625,40400.0,45399.758332403326
2026-05-30,00:00:49,4724.21875,20160.9375,40397.65625,45395.509405335695
2026-05-30,00:00:51,4725.0,20160.15625,40394.53125,45392.4628097181
2026-05-30,00:00:53,4725.0,20162.5,40400.78125,45399.065594573105
2026-05-30,00:00:55,4723.4375,20160.9375,40397.65625,45395.42810887982
2026-05-30,00:00:57,4724.21875,20166.40625,40393.75,45394.46246956109
2026-05-30,00:00:59,4725.0,20164.84375,40405.46875,45404.27791925713
2026-05-30,00:01:01,4725.0,20164.84375,40402.34375,45401.49699024337
