Date,Time,Bx (nT),By (nT),Bz (nT),Total (nT)
2026-06-12,00:00:02,2708.59375,15082.03125,41042.96875,43810.15214013748
2026-06-12,00:00:04,2711.71875,15585.9375,41044.53125,43987.8211766079
2026-06-12,00:00:06,2914.84375,12449.21875,41053.125,42998.121282654785
2026-06-12,00:00:08,2897.65625,19057.03125,41039.84375,45341.32361137084
2026-06-12,00:00:10,2907.8125,19065.625,41049.21875,45354.071373594816
2026-06-12,00:00:13,2915.625,19060.15625,41042.96875,45346.61739566156
2026-06-12,00:00:15,2911.71875,19064.0625,41049.21875,45353.66517789229
2026-06-12,00:00:17,2915.625,3444.53125,41049.21875,41296.53768366306
2026-06-12,00:00:19,2915.625,7287.499999999999,41046.875,41790.60268357289
2026-06-12,00:00:22,2914.0625,10014.0625,41048.4375,42352.65551531826
2026-06-12,00:00:24,2944.53125,10114.0625,41057.8125,42387.59832570476
2026-06-12,00:00:26,2944.53125,9493.75,41066.40625,42252.23397211993
2026-06-12,00:00:28,2942.96875,9275.0,41064.0625,42201.23125060906
2026-06-12,00:00:30,2945.3125,1255.46875,41064.0625,41188.69136679131
2026-06-12,00:00:32,2943.75,1253.125,41068.75,41193.18163107367
2026-06-12,00:00:35,2946.875,3410.9374999999995,41067.96875,41314.60545794317
2026-06-12,00:00:37,2945.3125,14761.71875,41060.15625,43732.363730436206
2026-06-12,00:00:39,2945.3125,15014.843750000002,41063.28125,43821.38137457755
2026-06-12,00:00:41,2944.53125,15553.90625,41070.3125,44015.506730738336
2026-06-12,00:00:44,2948.4375,15786.71875,41072.65625,44100.75808887725
2026-06-12,00:00:46,2948.4375,15928.90625,41065.625,44145.315659232976
2026-06-12,00:00:48,2948.4375,2514.84375,41058.59375,41241.06986373971
2026-06-12,00:00:50,2948.4375,1658.5937500000002,41067.96875,41207.065828203806
2026-06-12,00:00:52,2947.65625,1382.03125,41073.4375,41202.25668346998
2026-06-12,00:00:55,2949.21875,1462.5,41065.625,41197.358581903965
2026-06-12,00:00:57,2949.21875,1517.1875,41069.53125,41203.22980350247
2026-06-12,00:00:59,2949.21875,1475.78125,41062.5,41194.71723149952
2026-06-12,00:01:01,2948.4375,1503.125,41072.65625,41205.773380531224
2026-06-12,00:01:03,2949.21875,1575.78125,41070.3125,41206.20762252769
2026-06-12,00:01:06,2948.4375,1515.625,41071.875,41205.45253783358
2026-06-12,00:01:08,2948.4375,1507.8125,41071.875,41205.165916935555
2026-06-12,00:01:10,2947.65625,1563.28125,41072.65625,41207.95574965385
2026-06-12,00:01:12,2948.4375,1599.2187500000002,41064.84375,41201.60405267824
2026-06-12,00:01:14,2950.0,1501.5625,41070.3125,41203.49207032169
2026-06-12,00:01:17,2948.4375,1510.9375,41073.4375,41206.8378292574
2026-06-12,00:01:19,2950.0,1519.53125,41069.53125,41203.3720988277
2026-06-12,00:01:21,2949.21875,1527.34375,41068.75,41202.826319665444
2026-06-12,00:01:23,2949.21875,1957.8125000000002,41060.15625,41212.46598172599
2026-06-12,00:01:25,2950.0,1435.9375,41068.75,41199.59518085592
2026-06-12,00:01:28,2948.4375,10930.46875,41069.53125,42601.34772376174
2026-06-12,00:01:30,2948.4375,15789.0625,41071.875,44100.869541721484
2026-06-12,00:01:32,2948.4375,16394.53125,41069.53125,44319.07417459619
2026-06-12,00:01:34,2949.21875,16630.46875,41073.4375,44410.55786799446
2026-06-12,00:01:36,2950.0,16446.09375,41071.09375,44339.72532002288
2026-06-12,00:01:39,2951.5625,1575.0,41075.0,41211.017594708894
2026-06-12,00:01:41,2950.78125,1661.7187500000002,41074.21875,41213.58835520519
2026-06-12,00:01:43,2950.78125,1830.46875,41067.96875,41214.50937571688
2026-06-12,00:01:45,2950.78125,16553.125,41066.40625,44375.24962792903
2026-06-12,00:01:48,2950.78125,12471.09375,41071.09375,43024.063396289406
2026-06-12,00:01:50,2950.78125,13053.90625,41071.875,43197.34360333707
2026-06-12,00:01:52,2950.0,1888.2812500000002,41068.75,41217.83998029981
2026-06-12,00:01:54,2950.0,1916.4062499999998,41067.1875,41217.58122543334
2026-06-12,00:01:56,2950.0,2146.09375,41073.4375,41235.12442627275
2026-06-12,00:01:59,2941.40625,4010.15625,41071.09375,41371.10061018733
2026-06-12,00:02:01,2940.625,6488.28125,41071.09375,41684.28733696926
2026-06-12,00:02:03,2942.96875,13050.781250000002,41072.65625,43196.609215649
2026-06-12,00:02:05,2941.40625,14126.5625,41069.53125,43530.656276797294
2026-06-12,00:02:08,2953.90625,13425.781249999998,41078.125,43317.31198749832
2026-06-12,00:02:10,2952.34375,13431.25,41078.90625,43319.64160605387
2026-06-12,00:02:12,2952.34375,13775.78125,41076.5625,43425.48179908223
2026-06-12,00:02:14,2952.34375,4078.125,41088.28125,41395.58301573841
2026-06-12,00:02:16,2953.125,11162.5,41082.8125,42674.58068248335
2026-06-12,00:02:19,2951.5625,19047.65625,41075.78125,45373.392369398854
2026-06-12,00:02:21,2950.78125,19048.4375,41076.5625,45374.376778013866
2026-06-12,00:02:23,2949.21875,19047.65625,41073.4375,45371.11821324136
2026-06-12,00:02:25,2946.09375,19050.0,41071.09375,45369.77749785729
2026-06-12,00:02:27,2950.0,19050.0,41077.34375,45375.68919097168
2026-06-12,00:02:30,2950.0,19050.0,41079.6875,45377.810933292676
2026-06-12,00:02:32,2950.78125,19050.78125,41074.21875,45373.23905281124
2026-06-12,00:02:34,2950.0,19048.4375,41075.78125,45373.6187281691
2026-06-12,00:02:36,2948.4375,19048.4375,41071.09375,45369.27370703769
2026-06-12,00:02:38,2949.21875,19051.5625,41076.5625,45375.58717794365
2026-06-12,00:02:41,2949.21875,19050.78125,41078.90625,45377.38088703437
2026-06-12,00:02:43,2950.0,19052.34375,41074.21875,45373.84431906796
2026-06-12,00:02:45,2947.65625,19053.125,41068.75,45369.0695980895
2026-06-12,00:02:47,2949.21875,19046.875,41075.78125,45372.91200483862
2026-06-12,00:02:49,2948.4375,19050.78125,41071.875,45370.9650100412
2026-06-12,00:02:52,2949.21875,19050.78125,41074.21875,45373.13746473297
2026-06-12,00:02:54,2950.78125,19052.34375,41064.0625,45364.7014908885
2026-06-12,00:02:56,2949.21875,19048.4375,41076.5625,45374.27519248284
2026-06-12,00:02:58,2954.6875,19047.65625,41075.0,45372.88851110121
2026-06-12,00:03:01,2953.125,19046.875,41071.875,45369.62982598464
2026-06-12,00:03:03,2953.125,19049.21875,41075.0,45373.442752903116
2026-06-12,00:03:05,2955.46875,19046.875,41075.78125,45373.318680648685
2026-06-12,00:03:07,2952.34375,19050.0,41070.3125,45369.47655049395
2026-06-12,00:03:09,2950.78125,19046.09375,41074.21875,45371.271119971854
2026-06-12,00:03:12,2951.5625,19046.09375,41078.90625,45375.56552839297
2026-06-12,00:03:14,2950.78125,19047.65625,41071.875,45369.805318285646
2026-06-12,00:03:16,2953.125,19047.65625,41075.78125,45373.49403761673
2026-06-12,00:03:18,2953.125,19047.65625,41073.4375,45371.3722952061
2026-06-12,00:03:20,2951.5625,19048.4375,41072.65625,45370.89137115863
2026-06-12,00:03:23,2952.34375,19047.65625,41078.90625,45376.272223846434
2026-06-12,00:03:25,2953.125,19050.78125,41075.78125,45374.80599185883
2026-06-12,00:03:27,2953.90625,19047.65625,41077.34375,45374.95939731095
2026-06-12,00:03:29,2952.34375,19048.4375,41073.4375,45371.649439666355
2026-06-12,00:03:31,2953.125,19047.65625,41081.25,45378.44485486792
2026-06-12,00:03:34,2952.34375,19050.0,41078.125,45376.54886760108
2026-06-12,00:03:36,2953.125,19050.0,41075.78125,45374.47798667745
2026-06-12,00:03:38,2952.34375,19049.21875,41079.6875,45377.63539124942
